actor_name
"MALDEN, GRETA"
"MANSFIELD, ED"
"MARX, ELVIS"
"MCCONAUGHEY, CARY"
"MCCONAUGHEY, MICHELLE"
"MCDORMAND, MORGAN"
"MCKELLEN, GENE"
"MCKELLEN, TOM"
"MCQUEEN, CATE"
"MCQUEEN, JULIA"
"MIRANDA, TOM"
"MONROE, LISA"
"MONROE, PENELOPE"
"MOSTEL, GRACE"
"MOSTEL, JIM"
"NEESON, CHRISTIAN"
"NEESON, JAYNE"
"NICHOLSON, BETTE"
"NOLTE, ALBERT"
"NOLTE, JAYNE"
"NOLTE, SALMA"
"NOLTE, WARREN"
"OLIVIER, AUDREY"
"OLIVIER, CUBA"
"PALTROW, KENNETH"
"PALTROW, KIRSTEN"
"PECK, MILLA"
"PECK, SANDRA"
"PECK, SPENCER"
"PENN, GARY"
"PENN, RICHARD"
"PESCI, KENNETH"
"PFEIFFER, OLYMPIA"
"PHOENIX, GARY"
"PINKETT, PENELOPE"
"PITT, JAMES"
"POSEY, BURT"
"PRESLEY, ELLEN"
"REYNOLDS, RITA"
"RYDER, JADA"
"SILVERSTONE, JAYNE"
"SILVERSTONE, JEFF"
"SINATRA, GROUCHO"
"SOBIESKI, SISSY"
"STALLONE, NICK"
"STREEP, CAMERON"
"STREEP, DAN"
"SUVARI, JOHN"
"SWANK, JOE"
"TANDY, IAN"
"TANDY, MARY"
"TAUTOU, DUSTIN"
"TEMPLE, BURT"
"TEMPLE, MENA"
"TEMPLE, RUSSELL"
"TEMPLE, THORA"
"TOMEI, FRANCES"
"TORN, DAN"
"TORN, KENNETH"
"TORN, WALTER"
"TRACY, LUCILLE"
"TRACY, RENEE"
"VOIGHT, HELEN"
